Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0070635,6.2033E-07,0.0060374,0,0,0,0.18646,0.00034843,4.758E-08,1.5336E-07,0.00047563,-7.1077E-10,0.00081209,0,0,0,0,0,0,package://hexapod/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://hexapod/meshes/base_link.STL,,body-1,base_link <body-1>,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thorax,0.00706348303608598,6.20325486476734E-07,0.00603744130644426,0,0,0,0.186464930329123,0.000348426912913734,4.75798074144715E-08,1.53362982798971E-07,0.00047563290900193,-7.10771446997733E-10,0.000812087243482573,0,0,0,0,0,0,package://hexapod/meshes/thorax.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/thorax.STL,,body-1,thorax <body-1>,base_joint <body-1>,base_joint,revolute,0,0,0,0,0,0,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
leg_center_l1,0.027642,0.021349,-0.0010002,0,0,0,0.10336,3.0651E-05,-1.2899E-05,-1.3258E-07,3.3515E-05,-1.7432E-07,3.529E-05,0,0,0,0,0,0,package://hexapod/meshes/leg_center_l1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://hexapod/meshes/leg_center_l1.STL,,leg_l1-1/Coxa_L-1,leg_center_l1,leg_center_joint_l1 <leg_l1-1>,leg_center_joint_l1,revolute,0.077819,0.05449,-0.0017,0,0,0,thorax,0,0,-1,0,0,-1.57,1.57,,,,,,,,
coxa_l1,0.034834,-0.0025292,-0.0010002,0,0,0,0.10336,1.9105E-05,-5.2376E-13,-2.1505E-07,4.5061E-05,-4.146E-08,3.529E-05,0,0,0,0,0,0,package://hexapod/meshes/coxa_l1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://hexapod/meshes/coxa_l1.STL,,leg_l1-1/Coxa_L-1,coxa_l1 <leg_l1-1>,coxa_joint_l1 <leg_l1-1>,coxa_joint_l1,revolute,0,0,0,0,0,0.73013,leg_center_l1,0,0,-1,0,0,-1.57,1.57,,,,,,,,
femur_l1,-0.0043462,0.034442,-0.0058187,0,0,0,0.016654,1.0989E-05,-2.5179E-10,2.3265E-12,1.0107E-06,9.216E-08,1.1493E-05,0,0,0,0,0,0,package://hexapod/meshes/femur_l1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://hexapod/meshes/femur_l1.STL,,leg_l1-1/Femur_L-1,femur_l1 <leg_l1-1>,femur_joint_l1 <leg_l1-1>,femur_joint_l1,revolute,0.053487,-0.00025,-0.01255,1.5708,-1.5708,0,coxa_l1,0,0,1,0,0,-1.57,1.57,,,,,,,,
tibia_l1,0.010899,0.012132,0.0037413,0,0,0,0.12021,2.2982E-05,-1.2411E-05,4.1572E-08,0.00017602,1.3806E-10,0.00018979,0,0,0,0,0,0,package://hexapod/meshes/tibia_l1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://hexapod/meshes/tibia_l1.STL,,leg_l1-1/Tibia_L-1,tibia_l1 <leg_l1-1>,tibia_joint_l1 <leg_l1-1>,tibia_joint_l1,revolute,0,0.07,-0.0059687,3.1416,0,3.132,femur_l1,0,0,1,0,0,-1.57,1.57,,,,,,,,
tibia_foot_l1,0.1335,-0.015234,-0.0020587,0,0,0,0.12021,2.2982E-05,-1.2411E-05,-4.1572E-08,0.00017602,-1.3806E-10,0.00018979,0,0,0,0,0,0,package://hexapod/meshes/tibia_foot_l1.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://hexapod/meshes/tibia_foot_l1.STL,,leg_l1-1/Tibia_L-1,tibia_foot_l1 <leg_l1-1>,Axis_tibia_foot_joint_l1,tibia_foot_joint_l1,continuous,0.1444,-0.0031016,0.0058,0,0,3.1416,tibia_l1,0.99995,-0.0095683,0,,,,,,,,,,,,
leg_center_l2,0.00232532349486658,0.0348486970708794,-0.00100016547523733,0,0,0,0.103363776893952,4.50598553536232E-05,1.51906274791688E-07,4.27174774168416E-08,1.91057673879105E-05,-2.14800657365125E-07,3.52896644398831E-05,0,0,0,0,0,0,package://hexapod/meshes/leg_center_l2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/leg_center_l2.STL,,leg_l2-1/Coxa_L-1,leg_center_l2,leg_center_joint_l2 <leg_l2-1>,leg_center_joint_l2,revolute,0,0.078,-0.0017,0,0,0,thorax,0,0,-1,0,0,-1.57,1.57,,,,,,,,
coxa_l2,0.0348344911381483,-0.00252923783776128,-0.00100016547523733,0,0,0,0.103363776893952,1.91048783285097E-05,-5.55687162751777E-13,-2.15046985299267E-07,4.50607444130239E-05,-4.14596116123115E-08,3.52896644398831E-05,0,0,0,0,0,0,package://hexapod/meshes/coxa_l2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/coxa_l2.STL,,leg_l2-1/Coxa_L-1,coxa_l2 <leg_l2-1>,coxa_joint_l2 <leg_l2-1>,coxa_joint_l2,revolute,0,0,0,0,0,1.5766,leg_center_l2,0,0,-1,0,0,-1.57,1.57,,,,,,,,
femur_l2,-0.0043461847377985,0.0344416311101856,-0.00581874998882807,0,0,0,0.0166543169132961,1.09887876437987E-05,-2.51790271651963E-10,2.32651955705625E-12,1.01070134376918E-06,9.21601717207136E-08,1.14929296906149E-05,0,0,0,0,0,0,package://hexapod/meshes/femur_l2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hexapod/meshes/femur_l2.STL,,leg_l2-1/Femur_L-1,femur_l2 <leg_l2-1>,femur_joint_l2 <leg_l2-1>,femur_joint_l2,revolute,0.053487,-0.00025,-0.01255,1.5708,-1.5708,0,coxa_l2,0,0,1,0,0,-1.57,1.57,,,,,,,,
